case_id,timestamp,event_type,description,actor,synthetic_record_label
CB-2026-1001,2026-01-08T10:15:00,opened,Customer initiated fraud dispute,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1002,2026-01-12T14:20:00,opened,Customer reported item not received,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1002,2026-01-14T14:20:00,bank_review,Issuer started carrier evidence review,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1003,2026-01-18T09:05:00,opened,Customer disputed item description,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1003,2026-01-20T09:05:00,bank_review,Issuer requested product evidence,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1003,2026-01-23T09:05:00,response_submitted,Merchant submitted invoice photos and customer messages,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1004,2026-01-25T16:40:00,opened,Customer reported quality issue,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1004,2026-01-27T16:40:00,bank_review,Issuer reviewed service activation records,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1004,2026-01-30T16:40:00,response_submitted,Merchant submitted usage logs and support messages,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1004,2026-02-04T16:40:00,resolved,Case resolved in favor of merchant,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1005,2026-02-01T11:10:00,opened,Customer initiated fraud dispute,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1005,2026-02-03T11:10:00,bank_review,Issuer found missing verification evidence,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1005,2026-02-06T11:10:00,response_submitted,Merchant did not provide supporting evidence,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1005,2026-02-10T11:10:00,resolved,Case resolved in favor of customer,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1006,2026-02-09T13:25:00,opened,Customer denied receiving delivery,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1006,2026-02-11T13:25:00,bank_review,Issuer requested delivery confirmation,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1006,2026-02-14T13:25:00,response_submitted,Merchant submitted tracking and signature evidence,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1007,2026-02-18T08:55:00,opened,Customer disputed travel description,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1007,2026-02-21T08:55:00,bank_review,Issuer reviewing cancellation and refund terms,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1008,2026-02-27T15:05:00,opened,Customer reported item not received,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1008,2026-03-01T15:05:00,bank_review,Issuer reviewed late carrier scan,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1008,2026-03-04T15:05:00,response_submitted,Merchant submitted tracking record,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1008,2026-03-09T15:05:00,resolved,Case resolved in favor of customer,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1009,2026-03-05T12:45:00,opened,High-value fraud dispute opened,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1010,2026-03-12T17:30:00,opened,Customer opened low-value quality dispute,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1010,2026-03-14T17:30:00,bank_review,Issuer reviewed refund offer,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1010,2026-03-17T17:30:00,response_submitted,Merchant submitted customer email and refund offer,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1010,2026-03-21T17:30:00,resolved,Case resolved mostly in favor of merchant,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1011,2026-03-21T10:00:00,opened,Fraud dispute opened after billing mismatch,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1011,2026-03-24T10:00:00,bank_review,Issuer escalated for manual review,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1012,2026-04-02T09:35:00,opened,Customer disputed service quality,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1012,2026-04-04T09:35:00,bank_review,Issuer requested outage and SLA records,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1012,2026-04-07T09:35:00,response_submitted,Merchant submitted usage logs support ticket and refund offer,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1013,2026-04-11T19:15:00,opened,Customer disputed subscription terms,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1013,2026-04-13T19:15:00,bank_review,Issuer reviewed cancellation trail,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1013,2026-04-16T19:15:00,response_submitted,Merchant submitted customer email history,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1013,2026-04-21T19:15:00,resolved,Case resolved in favor of customer,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1014,2026-04-20T07:50:00,opened,Customer reported missing delivery after address change,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1015,2026-05-03T18:05:00,opened,Customer reported possible duplicate charge,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1015,2026-05-05T18:05:00,bank_review,Issuer requested processor retry evidence,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1015,2026-05-08T18:05:00,response_submitted,Merchant submitted invoice messages and delivery signature,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1016,2026-05-19T21:30:00,opened,Customer disputed travel booking description,customer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1016,2026-05-21T21:30:00,bank_review,Issuer reviewed documented booking terms,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1016,2026-05-24T21:30:00,response_submitted,Merchant submitted invoice messages and refund offer,merchant,SYNTHETIC - Chargeback Lifecycle Tracker mock data
CB-2026-1016,2026-05-29T21:30:00,resolved,Case resolved mostly in favor of merchant,issuer,SYNTHETIC - Chargeback Lifecycle Tracker mock data
