id,order_id,merchant_name,amount,currency,dispute_date,case_status,dispute_reason,card_network,loss_allocation,merchant_response_evidence,root_cause_tags,merchant_win_rate,expected_resolution_date,synthetic_record_label,edge_case_notes
CB-2026-1001,ORD-901001,TechStore Inc,349.99,USD,2026-01-08T10:15:00,opened,fraud,visa,35.0,,authorization_issue;account_takeover,,2026-02-22T10:15:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,New fraud claim without evidence yet
CB-2026-1002,ORD-901002,Fashion Plus,89.50,USD,2026-01-12T14:20:00,under_review,item_not_received,mastercard,55.0,tracking_number;customer_email,shipping_delay;carrier_scan_gap,,2026-02-26T14:20:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Carrier tracking has conflicting status
CB-2026-1003,ORD-901003,Electronics Hub,1299.00,USD,2026-01-18T09:05:00,merchant_response,not_as_described,amex,42.5,invoice;product_photos;customer_email,product_expectation_gap;return_policy_confusion,,2026-03-04T09:05:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,High-value item dispute requiring multiple evidence types
CB-2026-1004,ORD-901004,Software Solutions Ltd,499.00,USD,2026-01-25T16:40:00,resolved,quality_issue,discover,0.0,invoice;usage_logs;customer_email,service_activation_delay;support_response_gap,91.0,,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Resolved merchant win with zero merchant liability
CB-2026-1005,ORD-901005,Digital Services Co,19.99,USD,2026-02-01T11:10:00,resolved,fraud,visa,100.0,,authorization_issue;missing_cvv_match,0.0,,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Full merchant liability and no evidence submitted
CB-2026-1006,ORD-901006,Home Goods Outlet,245.75,USD,2026-02-09T13:25:00,merchant_response,item_not_received,mastercard,62.0,tracking_number;delivery_signature,porch_delivery_claim;shipping_delay,,2026-03-26T13:25:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Delivery signature exists but customer denies receipt
CB-2026-1007,ORD-901007,Travel Desk Online,875.20,USD,2026-02-18T08:55:00,under_review,not_as_described,amex,48.0,customer_email;refund_offer,cancellation_policy_confusion;partial_refund_offer,,2026-04-04T08:55:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Partial refund offered while issuer review remains open
CB-2026-1008,ORD-901008,QuickShip Market,64.35,USD,2026-02-27T15:05:00,resolved,item_not_received,discover,78.0,tracking_number,late_delivery;customer_regret,20.0,,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Resolved customer win after late delivery
CB-2026-1009,ORD-901009,TechStore Inc,2149.99,USD,2026-03-05T12:45:00,opened,fraud,visa,70.0,,high_value_order;velocity_check_missed,,2026-04-19T12:45:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,High-value fraud edge case
CB-2026-1010,ORD-901010,Fashion Plus,7.49,USD,2026-03-12T17:30:00,resolved,quality_issue,mastercard,25.0,refund_offer;customer_email,low_value_dispute;customer_regret,66.7,,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Low-value quality dispute with merchant-favorable outcome
CB-2026-1011,ORD-901011,Electronics Hub,699.00,USD,2026-03-21T10:00:00,under_review,fraud,amex,58.5,invoice,manual_review_required;billing_address_mismatch,,2026-05-05T10:00:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Issuer review delayed by billing mismatch
CB-2026-1012,ORD-901012,Software Solutions Ltd,120.00,USD,2026-04-02T09:35:00,merchant_response,quality_issue,discover,40.0,usage_logs;support_ticket;refund_offer,service_outage;sla_credit_pending,,2026-05-17T09:35:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Service outage with pending SLA credit
CB-2026-1013,ORD-901013,Digital Services Co,59.99,USD,2026-04-11T19:15:00,resolved,not_as_described,visa,85.0,customer_email,subscription_terms_confusion;failed_cancellation,33.3,,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Resolved customer-favorable subscription terms dispute
CB-2026-1014,ORD-901014,Home Goods Outlet,340.40,USD,2026-04-20T07:50:00,opened,item_not_received,mastercard,52.0,,address_change_after_order;carrier_scan_gap,,2026-05-20T07:50:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Pending case past expected resolution date
CB-2026-1015,ORD-901015,QuickShip Market,180.80,USD,2026-05-03T18:05:00,merchant_response,fraud,discover,60.0,invoice;customer_email;delivery_signature,duplicate_charge;processor_retry,,2026-06-17T18:05:00,SYNTHETIC - Chargeback Lifecycle Tracker mock data,Duplicate charge investigation in merchant response state
CB-2026-1016,ORD-901016,Travel Desk Online,1520.00,USD,2026-05-19T21:30:00,resolved,not_as_described,amex,12.0,invoice;customer_email;refund_offer,cancellation_policy_confusion;documented_terms,88.5,,SYNTHETIC - Chargeback Lifecycle Tracker mock data,High-value travel dispute resolved mostly in merchant favor
